Name,Release Year,Certificate,Duration,Poster,Trailer,Genre,Rating,Rating Count,Country,Director,Writer,Stars,Story,Budget,Gross US & Canada,Opening weekend US & Canada,Gross worldwide,Cost,Income
Aurora,2013,Unrated,124.0,https://m.media-amazon.com/images/M/MV5BMjE4ODkwMzQzMl5BMl5BanBnXkFtZTcwNTEzMTMxOQ@@._V1_.jpg,,"['Romance', 'Sci-Fi', 'Thriller']",6.0,2827,"['Lithuania', 'France', 'Belgium']",['Kristina Buozyte'],"['Kristina Buozyte', 'Bruno Samper']","['Marius Jampolskis', 'Jurga Jutaite', 'Rudolfas Jansonas']",A neuron-transfer scientist experiments with the thoughts of a comatose young woman.,"€1,175,000 (estimated)",,,$91,"€1,175,000 (estimated)",$91
Hellbenders,2013,R,85.0,https://m.media-amazon.com/images/M/MV5BZjJlZTUzNTItOTk2Zi00YzY3LWEyOWYtYTcxY2RjODgwNjMwXkEyXkFqcGdeQXVyODEwMTc2ODQ@._V1_.jpg,https://www.imdb.com/video/vi2782902809/,"['Comedy', 'Horror', 'Thriller']",4.9,1803,['United States'],['J.T. Petty'],['J.T. Petty'],"['Clifton Collins Jr.', 'Clancy Brown', 'Andre Royo']","The Augustine Interfaith Order of Hellbound Saints, a team of blasphemous ministers who live in a constant state of debauchery, work to drag the worst of demons back to Hell.",,,,"$64,097",,"$64,097"
Forbidden Ground,2013,R,95.0,https://m.media-amazon.com/images/M/MV5BMjMwNjQyODQ5OF5BMl5BanBnXkFtZTgwMTE0MjE0MDE@._V1_.jpg,https://www.imdb.com/video/vi2807605529/,"['Action', 'Drama', 'War']",4.9,2107,['Australia'],"['Johan Earl', 'Adrian Powers']","['Johan Earl', 'Denai Gracie', 'Travis Spiteri']","['Johan Earl', 'Tim Pocock', 'Martin Copping']",Three British soldiers find themselves stranded in No Man&apos;s Land after a failed charge on the German Trenches. Set in France 1916.,"A$1,500,000 (estimated)",,,,"A$1,500,000 (estimated)",
$9.99,2009,R,78.0,https://m.media-amazon.com/images/M/MV5BMTMwNzM1MzE0Nl5BMl5BanBnXkFtZTcwOTA1NTQwMg@@._V1_.jpg,https://www.imdb.com/video/vi2745107225/,"['Animation', 'Drama', 'Fantasy']",6.7,3449,"['Israel', 'Australia']",['Tatia Rosenthal'],"['Etgar Keret', 'Tatia Rosenthal']","['Geoffrey Rush', 'Anthony LaPaglia', 'Samuel Johnson']",A stop-motion animated story about people living in a Sydney apartment complex looking for meaning in their lives.,,"$52,384",$478,"$708,354",,"$708,354"
Bad Turn Worse,2014,Not Rated,92.0,https://m.media-amazon.com/images/M/MV5BMjA4NzE3ODkxMl5BMl5BanBnXkFtZTgwODIwNDA5MjE@._V1_.jpg,https://www.imdb.com/video/vi1357033241/,"['Crime', 'Drama', 'Thriller']",5.5,2193,['United States'],"['Simon Hawkins', 'Zeke Hawkins']",['Dutch Southern'],"['Mackenzie Davis', 'Logan Huffman', 'Jeremy Allen White']",Three Texas teens hope to make a break for it and escape their dead-end existence in a cotton-mill town but get sucked into the seedy underbelly of organized crime when one of them steals from the wrong man.,,,,,,
Kyûketsu Shôjo tai Shôjo Furanken,2010,18+,84.0,https://m.media-amazon.com/images/M/MV5BOWQ5YmM4MGMtYTYwNy00NTg0LTljZmUtYTIzNzE0MWU1YzI2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,https://www.imdb.com/video/vi3000671257/,"['Action', 'Comedy', 'Horror']",5.7,3868,['Japan'],"['Yoshihiro Nishimura', 'Naoyuki Tomomatsu']","['Daichi Nagisa', 'Naoyuki Tomomatsu', 'Shungiku Uchida']","['Yukie Kawamura', 'Takumi Saitô', 'Eri Otoguro']",A reconstructed girl is created from the pieces of a vampire girl&apos;s mini-butchery. Slaughter abounds as both of them pursue the same boy.,,,,,,
Code Blue,2011,TV-MA,81.0,https://m.media-amazon.com/images/M/MV5BMjQyNTQxMjc1MV5BMl5BanBnXkFtZTgwODMyNjQyMTI@._V1_.jpg,,"['Drama', 'Horror', 'Mystery']",5.5,1089,"['Netherlands', 'Denmark']",['Urszula Antoniak'],['Urszula Antoniak'],"['Bien de Moor', 'Lars Eidinger', 'Annemarie Prins']","Marian, a middle aged nurse, devotes herself to her patients like a saint. Sometimes she even takes on the role of a redeemer, by helping the gravely ill to the soothing order of ultimate silence. When she gets linked to a neighbo...",,,,"$19,224",,"$19,224"
Chakravyuh,2012,Not Rated,152.0,https://m.media-amazon.com/images/M/MV5BYmVkZDMzZmUtZDNiMi00NTgxLTk2MGUtY2UzNmM0OWQwNjZjXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_.jpg,https://www.imdb.com/video/vi922074393/,"['Action', 'Drama', 'Thriller']",6.8,3383,['India'],['Prakash Jha'],"['Prakash Jha', 'Sagar Pandya', 'Anjum Rajabali']","['Manoj Bajpayee', 'Kabir Bedi', 'Arjun Rampal']","On the request of his friend Kabir, SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.",,"$151,778","$97,896","$2,634,497",,"$2,634,497"
Playback,2012,R,98.0,https://m.media-amazon.com/images/M/MV5BMTU5NDA0MzI1NV5BMl5BanBnXkFtZTcwOTUwNDUyNw@@._V1_.jpg,https://www.imdb.com/video/vi3767312665/,"['Horror', 'Thriller']",4.3,5061,['United States'],['Michael A. Nickles'],['Michael A. Nickles'],"['Christian Slater', 'Ambyr Childers', 'Toby Hemingway']","A teenager investigates the case of a missing local baby, though he discovers a dark secret that has been unleashed in his town, and an evil spirit that will stop at nothing to find its heir.","$1,600,000 (estimated)",$264,$252,"$57,587","$1,600,000 (estimated)","$57,587"
Today&apos;s Special,2009,R,99.0,https://m.media-amazon.com/images/M/MV5BMTg1NTYzMzI2NF5BMl5BanBnXkFtZTcwNTQzNDI5Mw@@._V1_.jpg,https://www.imdb.com/video/vi525244697/,['Comedy'],6.6,6710,['United States'],['David Kaplan'],"['Aasif Mandvi', 'Jonathan Bines']","['Dean Winters', 'Aarti Mann', 'Kevin Corrigan']","In this super-feel-good foodie comedy, young Manhattan chef Samir rediscovers his heritage and his passion for life through the enchanting art of cooking Indian food.",,"$317,831","$90,639","$317,831",,"$317,831"
Patrick,2013,Not Rated,96.0,https://m.media-amazon.com/images/M/MV5BMTY3NDM2MjM5Nl5BMl5BanBnXkFtZTgwNzEwNjQxMTE@._V1_.jpg,https://www.imdb.com/video/vi921677081/,['Horror'],4.9,4141,['Australia'],['Mark Hartley'],"['Justin King', 'Mark Hartley', 'Ray Boseley']","['Sharni Vinson', 'Rachel Griffiths', 'Charles Dance']","At a private clinic, a young nurse soon discovers that one of the comatose patients is quite sinister.",,,,"$109,056",,"$109,056"
Beware the Gonzo,2011,TV-14,94.0,https://m.media-amazon.com/images/M/MV5BMTk0NDE3MDMyNF5BMl5BanBnXkFtZTcwNTgzMDQ0Ng@@._V1_.jpg,https://www.imdb.com/video/vi4211776537/,"['Comedy', 'Drama', 'Romance']",6.2,1805,['United States'],['Bryan Goluboff'],['Bryan Goluboff'],"['Ezra Miller', 'Zoë Kravitz', 'Griffin Newman']",A young muckraker decides to start his own underground newspaper at his high school.,,,,,,
A Febre do Rato,2012,,110.0,https://m.media-amazon.com/images/M/MV5BNzA5YjA0MjYtNzA0Yy00ZmU3LWE3YzYtZmVlODBjMjQ2YjVlXkEyXkFqcGdeQXVyNDc2MTA2NDg@._V1_.jpg,,['Drama'],7.1,1411,['Brazil'],['Cláudio Assis'],['Hilton Lacerda'],"['Irandhir Santos', 'Juliano Cazarré', 'Matheus Nachtergaele']","Zizo (Irandhir Santos) é um poeta inconformado e anarquista, que banca a publicação de seu tablóide. Em seu mundo próprio, onde o sexo é algo tão corriqueiro quanto fumar maconha, ele conhece Eneida (Nanda Costa). Zizo logo sente ...",,,,"$105,367",,"$105,367"
Vavien,2009,,100.0,https://m.media-amazon.com/images/M/MV5BMTYwMTk1MTY5MF5BMl5BanBnXkFtZTcwNjUwMDY4Mw@@._V1_.jpg,,"['Comedy', 'Drama', 'Thriller']",7.5,13438,['Turkey'],"['Durul Taylan', 'Yagmur Taylan']",['Engin Günaydin'],"['Engin Günaydin', 'Binnur Kaya', 'Settar Tanriögen']","A reckless electrician, who is struggling with debt, decides to kill his wife and use her savings as a way out. His plan takes an unexpected twist when his loving wife, comes back from the dead to be with her family.",,,,"$879,768",,"$879,768"
Traffic,2011,Not Rated,122.0,https://m.media-amazon.com/images/M/MV5BYTU0ZWQyZjItNWZiMy00NTI4LTk5ZWYtMDMxNzljZGM0ZWI1XkEyXkFqcGdeQXVyODE0NjUxNzY@._V1_.jpg,https://www.imdb.com/video/vi459651097/,"['Action', 'Adventure', 'Mystery']",8.1,5041,['India'],['Rajesh Pillai'],"['Bobby', 'Sanjay']","['Sreenivasan', 'Kunchacko Boban', 'Sudip Joshy']",The lives of some different people get intertwined when a girl is in urgent need of a heart transplant with the only heart donor being many miles of traffic away.,,,,,,
7 cajas,2012,TV-14,105.0,https://m.media-amazon.com/images/M/MV5BNjcyNjQyODQzNV5BMl5BanBnXkFtZTgwMDg0ODQ3MDE@._V1_.jpg,https://www.imdb.com/video/vi50641433/,"['Adventure', 'Crime', 'Drama']",7.1,6031,"['Paraguay', 'Spain']","['Juan Carlos Maneglia', 'Tana Schémbori']","['Juan Carlos Maneglia', 'Tito Chamorro', 'Tana Schémbori']","['Celso Franco', 'Víctor Sosa', 'Lali Gonzalez']","Víctor receives an unusual proposal, to carry 7 boxes of unknown content through the Market Number 4 but things get complicated along the way.",,"$38,106","$6,447","$370,892",,"$370,892"
De Heineken ontvoering,2011,Not Rated,127.0,https://m.media-amazon.com/images/M/MV5BMTA0MDc0ODI3NzJeQTJeQWpwZ15BbWU3MDAwMzUwNTc@._V1_.jpg,https://www.imdb.com/video/vi1102030105/,"['Crime', 'History', 'Thriller']",6.5,5903,['Netherlands'],['Maarten Treurniet'],"['Kees van Beijnum', 'Maarten Treurniet']","['Rutger Hauer', 'Reinout Scholten van Aschat', 'Gijs Naber']","A bold, amateur kidnapping goes wildly awry in this fictionalized account of beer magnate Alfred Heineken&apos;s 1983 abduction, which would go on to become one of The Netherlands&apos; most infamous crimes.","€4,500,000 (estimated)",,,"$3,487,309","€4,500,000 (estimated)","$3,487,309"
How to Survive a Plague,2013,Not Rated,110.0,https://m.media-amazon.com/images/M/MV5BMTg2NTEyNTE3NF5BMl5BanBnXkFtZTcwNjY3NzM0OA@@._V1_.jpg,https://www.imdb.com/video/vi3821118745/,"['Documentary', 'History', 'News']",7.6,4309,['United States'],['David France'],"['David France', 'Woody Richman', 'Tyler H. Walk']","['Peter Staley', 'Larry Kramer', 'Iris Long']",The story of two coalitions -- ACT UP and TAG (Treatment Action Group) -- whose activism and innovation turned AIDS from a death sentence into a manageable condition.,,"$132,055","$28,250","$132,055",,"$132,055"
Heartless,2010,,114.0,https://m.media-amazon.com/images/M/MV5BMTUxMzgyNjUwNF5BMl5BanBnXkFtZTcwMDE1NzEwNA@@._V1_.jpg,https://www.imdb.com/video/vi2552994073/,"['Drama', 'Fantasy', 'Horror']",5.9,10313,['United Kingdom'],['Philip Ridley'],['Philip Ridley'],"['Jim Sturgess', 'Luke Treadaway', 'Clémence Poésy']","Jamie Morgan, a young man with a large heart-shaped birthmark on his face, discovers that there are demons on the streets of East London.","$5,000,000 (estimated)","$3,697","$2,033","$20,435","$5,000,000 (estimated)","$20,435"
Hong men yan chuan qi,2011,Not Rated,135.0,https://m.media-amazon.com/images/M/MV5BODA0MjAwMDY4MV5BMl5BanBnXkFtZTgwODI4NjI2MDE@._V1_.jpg,https://www.imdb.com/video/vi2687345689/,"['Action', 'Drama', 'History']",6.1,1982,['China'],['Daniel Lee'],['Daniel Lee'],"['Shaofeng Feng', 'Leon Lai', 'Hanyu Zhang']","White Vengeance tells the story of two brothers contending for supremacy during the fall of the Qin Dynasty, which ruled Imperial China from 221 to 206 BC. As rebels rose, the nation fell into chaos. Liu Bang (Leon Lai) and Xiang ...",,,,"$992,195",,"$992,195"
The Demented,2013,R,92.0,https://m.media-amazon.com/images/M/MV5BMTU1OTE0MjI4Ml5BMl5BanBnXkFtZTcwMzY4MjA3OQ@@._V1_.jpg,https://www.imdb.com/video/vi3836127513/,"['Horror', 'Sci-Fi']",3.8,2193,['United States'],['Christopher Roosevelt'],['Christopher Roosevelt'],"['Kayla Ewell', 'Richard Kohnke', 'Ashlee Brian']",Six college friends unite for a weekend getaway where they find themselves fighting for their lives after a terrorist attack turns the local residents into rage infused zombies.,"$1,371,275 (estimated)",,,,"$1,371,275 (estimated)",
Betoniyö,2013,Unrated,96.0,https://m.media-amazon.com/images/M/MV5BMTczODI0MDUwMV5BMl5BanBnXkFtZTgwMzE2NTQ1MDI@._V1_.jpg,https://www.imdb.com/video/vi1088403993/,['Drama'],6.4,1242,"['Finland', 'Sweden', 'Denmark']",['Pirjo Honkasalo'],"['Pirjo Honkasalo', 'Pirkko Saisio']","['Johannes Brotherus', 'Jari Virman', 'Anneli Karppinen']",A fourteen-year-old boy in a stifling Helsinki slum takes some unwise life lessons from his soon-to-be-incarcerated older brother.,"€1,620,000 (estimated)",,,"$44,551","€1,620,000 (estimated)","$44,551"
Children of God,2011,Not Rated,104.0,https://m.media-amazon.com/images/M/MV5BNWYyZDU0YjUtOTk3Ny00YWEzLWEyZWItNzlmOWJhODdmYzA1XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_.jpg,,['Drama'],6.6,1388,['Bahamas'],['Kareem Mortimer'],['Kareem Mortimer'],"['Johnny Ferro', 'Stephen Tyrone Williams', 'Margaret Laurena Kemp']",The story of two young Bahamian men who fall in love with each other and portrays the homophobia of the Bahamian society.,,,,,,
Parts Per Billion,2015,R,98.0,https://m.media-amazon.com/images/M/MV5BMTQyODgxMDMyNV5BMl5BanBnXkFtZTgwNDMzMDk3MTE@._V1_.jpg,https://www.imdb.com/video/vi2703666457/,"['Drama', 'Romance', 'Sci-Fi']",4.3,2149,['United States'],['Brian Horiuchi'],['Brian Horiuchi'],"['Frank Langella', 'Gena Rowlands', 'Rosario Dawson']","In the midst of a manmade biological disaster and a terrible fate, three couples try to find meaning in their lives.","$1,300,000 (estimated)",,,,"$1,300,000 (estimated)",
"Lovely, Still",2010,PG,92.0,https://m.media-amazon.com/images/M/MV5BMDZhZTUyNmMtNDc1Ni00YWRmLWI5MjQtZjJhOGUzYjM3NzZkXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_.jpg,https://www.imdb.com/video/vi1911855897/,"['Drama', 'Romance']",7.1,2353,['United States'],['Nik Fackler'],"['Nik Fackler', 'Tim Kasher']","['Martin Landau', 'Ellen Burstyn', 'Elizabeth Banks']",A holiday fable that tells the story of an elderly man discovering love for the first time.,"$5,000,000 (estimated)","$127,564","$4,584","$282,687","$5,000,000 (estimated)","$282,687"
Spiderhole,2010,Not Rated,82.0,https://m.media-amazon.com/images/M/MV5BMjI3OTg0MDUzMV5BMl5BanBnXkFtZTcwMzM4NDE5NQ@@._V1_.jpg,https://www.imdb.com/video/vi2147392537/,['Horror'],4.2,1076,['Ireland'],['Daniel Simpson'],['Daniel Simpson'],"['Amy Noble', 'Emma Griffiths Malin', 'George Maguire']",They say squatting is dead - a term that takes on a sinister double meaning when four homeless art students decide to take up residence in an abandoned London House where a hidden terror lurks.,,,,,,
678,2010,,100.0,https://m.media-amazon.com/images/M/MV5BODNlNDRjNWMtZDhjMy00ZTcxLWIxZTktZGQzMThiMjFjYjllXkEyXkFqcGdeQXVyMjg0MzMwNzg@._V1_.jpg,https://www.imdb.com/video/vi1592769049/,['Drama'],7.4,4733,['Egypt'],['Mohamed Diab'],['Mohamed Diab'],"['Nilli Karim', 'Bushra', 'Maged El-Kidwani']",Unfolds the poignant story of three women and their search for justice from the daily plight of sexual harassment in Egypt.,,,,"$669,933",,"$669,933"
The Narrows,2008,R,106.0,https://m.media-amazon.com/images/M/MV5BMTMyNDIyOTY1OV5BMl5BanBnXkFtZTcwNTc5NjM5Mg@@._V1_.jpg,https://www.imdb.com/video/vi950207769/,"['Crime', 'Drama', 'Thriller']",6.1,1641,['United States'],['François Velle'],"['Tatiana Blackington', 'Tim McLoughlin']","['Kevin Zegers', 'Vincent D&apos;Onofrio', 'Sophia Bush']","19-year-old Brooklyn boy Mike tries to balance a scholarship to NYU and his sophisticated Italian neighborhood roots, as well as an eager-to-marry girlfriend, a proud father and a less lawful transport job. After Tim McLoughlin&apos;s ...","$5,000,000 (estimated)",,,,"$5,000,000 (estimated)",
Stockholm Östra,2011,Not Rated,92.0,https://m.media-amazon.com/images/M/MV5BNDE0NDYyMzgxN15BMl5BanBnXkFtZTcwOTg3NDE5Ng@@._V1_.jpg,https://www.imdb.com/video/vi3616251417/,['Drama'],6.2,1200,['Sweden'],['Simon Kaijser'],['Pernilla Oljelund'],"['Mikael Persbrandt', 'Liv Mjönes', 'Henrik Norlén']","Stockholm East is a moving and compelling love story between two strangers, bound together by a tragedy that has taken its toll on both their lives and their relationships.When Johan (Mikael Persbrandt) and Anna (Iben Hjejle) meet...",,,,,,
The Age of Stupid,2009,Not Rated,92.0,https://m.media-amazon.com/images/M/MV5BMjE5NjI5ODYzN15BMl5BanBnXkFtZTcwMzE5NTU1Mw@@._V1_.jpg,https://www.imdb.com/video/vi2332885785/,"['Documentary', 'History', 'News']",7.0,4655,['United Kingdom'],['Franny Armstrong'],['Franny Armstrong'],"['Pete Postlethwaite', 'Jehangir Wadia', 'Alvin DuVernay']",A future archivist looks at old footage from the year 2008 to understand why humankind failed to address climate change.,"£650,000 (estimated)",,,"$346,176","£650,000 (estimated)","$346,176"
Love.net,2011,,109.0,https://m.media-amazon.com/images/M/MV5BMTkzNjA2MDU4NV5BMl5BanBnXkFtZTcwOTMyNDg0NQ@@._V1_.jpg,https://www.imdb.com/video/vi3281233689/,"['Drama', 'Romance']",7.2,3915,['Bulgaria'],['Ilian Djevelekov'],"['Nelly Dimitrova', 'Matey Konstantinov', 'Ilian Djevelekov']","['Hristo Shopov', 'Zachary Baharov', 'Lilia Marvilya']",Follows the parallel stories of a number of characters who are trying to change their lives via the Internet or are simply having fun online.,,,,"$925,498",,"$925,498"
A Little Bit Zombie,2013,R,87.0,https://m.media-amazon.com/images/M/MV5BMTExMTQ4NTg5NDleQTJeQWpwZ15BbWU3MDc5ODkzNDc@._V1_.jpg,https://www.imdb.com/video/vi3239290649/,"['Comedy', 'Horror', 'Sci-Fi']",5.3,2945,['Canada'],['Casey Walker'],"['Trevor Martin', 'Christopher Bond']","['Kristopher Turner', 'Yan-Kay Crystal Lowe', 'Shawn Roberts']","Infected by a virus, a mild mannered HR manager attempts to fulfill his overwhelming desire for brains, all while trying to keep it together so as not to incur the wrath of his bridezilla-to-be.","CA$1,500,000 (estimated)",,,,"CA$1,500,000 (estimated)",
Neighbor,2012,R,90.0,https://m.media-amazon.com/images/M/MV5BMTQ0MTM0MDU4Nl5BMl5BanBnXkFtZTcwMTMzNTk0Mw@@._V1_.jpg,,"['Horror', 'Thriller']",3.9,1969,['United States'],['Robert A. Masciantonio'],['Robert A. Masciantonio'],"['America Olivo', 'Christian Campbell', 'Joseph Aniska']","A mysterious new girl arrives in posh suburban neighborhood and quickly sets out to terrorize the town. As she starts breaking into homes and torturing the occupants, they begin to realize that she isn&apos;t just another girl next door.",,,,,,
Happy Tears,2009,R,92.0,https://m.media-amazon.com/images/M/MV5BNTk5OTcxMzI5NF5BMl5BanBnXkFtZTcwMzE3NTExMw@@._V1_.jpg,https://www.imdb.com/video/vi3318547481/,"['Comedy', 'Drama']",5.2,1598,['United States'],['Mitchell Lichtenstein'],['Mitchell Lichtenstein'],"['Parker Posey', 'Demi Moore', 'Rip Torn']","Two sisters return home to deal with their ailing father, only to face some surprising situations.",,"$22,464","$13,009","$22,464",,"$22,464"
Bran Nue Dae,2010,PG-13,85.0,https://m.media-amazon.com/images/M/MV5BMTgyNTIzNTE1MV5BMl5BanBnXkFtZTcwMzQwOTk2Mw@@._V1_.jpg,https://www.imdb.com/video/vi1425475097/,"['Comedy', 'Drama', 'Musical']",6.2,1991,['Australia'],['Rachel Perkins'],"['Jimmy Chi', 'Kuckles', 'Patrick Duttoo Bin Amat']","['Rocky McKenzie', 'Jessica Mauboy', 'Ernie Dingo']","An Aboriginal student on the west coast of Australia in the late &apos;60s runs away from a Catholic boarding school with his cruel headmaster in hot pursuit, meeting eccentric characters along the journey back to his hometown.","A$6,500,000 (estimated)","$113,568","$23,527","$6,812,530","A$6,500,000 (estimated)","$6,812,530"
Brindaavanam,2010,Not Rated,169.0,https://m.media-amazon.com/images/M/MV5BZGZhMmRhMDctYjUwZi00OWQ5LTg5ZDgtZWZlZDk1NmM2ZDRmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg,https://www.imdb.com/video/vi1432270873/,"['Action', 'Comedy', 'Drama']",7.1,4577,['India'],['Vamshi Paidipally'],"['Vamshi Paidipally', 'Koratala Siva']","['N.T. Rama Rao Jr.', 'Kajal Aggarwal', 'Samantha Ruth Prabhu']","Indu makes her boyfriend Krishna act like her friend Bhoomi&apos;s lover so that her family will stop searching for a groom. However, their lives takes a turn when Bhoomi falls in love with Krishna.",,,,"₹300,100,000",,"₹300,100,000"
All Superheroes Must Die,2011,Unrated,78.0,https://m.media-amazon.com/images/M/MV5BMjAxNzc3NTg4NF5BMl5BanBnXkFtZTcwODQ5MTY2OA@@._V1_.jpg,,"['Action', 'Horror', 'Sci-Fi']",3.9,2294,['United States'],['Jason Trost'],['Jason Trost'],"['Jason Trost', 'Lucas Till', 'James Remar']",Four Super Heroes find themselves abducted by their Arch Nemesis and are forced to compete in a series of challenges in order to save an abandoned town full of kidnapped innocent civilians.,"$20,000 (estimated)",,,,"$20,000 (estimated)",
Generation P,2011,,112.0,https://m.media-amazon.com/images/M/MV5BMTAxNzM1MDI1OTheQTJeQWpwZ15BbWU4MDk1NjQ1ODAx._V1_.jpg,https://www.imdb.com/video/vi924694553/,"['Comedy', 'Drama', 'Sci-Fi']",6.7,4228,"['Russia', 'United States']",['Victor Ginzburg'],"['Djina Ginzburg', 'Victor Ginzburg', 'Viktor Pelevin']","['Vladimir Epifantsev', 'Mikhail Efremov', 'Andrey Fomin']",A chronicle of the rise of the advertising industry in Post-Soviet Russia.,"$7,000,000 (estimated)",,,"$4,664,538","$7,000,000 (estimated)","$4,664,538"
L&apos;image manquante,2014,Not Rated,92.0,https://m.media-amazon.com/images/M/MV5BNjc5MDkyODM3NF5BMl5BanBnXkFtZTgwMzAxNjgwMTE@._V1_.jpg,https://www.imdb.com/video/vi1622649625/,['Documentary'],7.3,3466,"['Cambodia', 'France']",['Rithy Panh'],"['Rithy Panh', 'Christophe Bataille']","['Randal Douc', 'Jean-Baptiste Phou']","Rithy Panh uses clay figures, archival footage, and his narration to recreate the atrocities Cambodia&apos;s Khmer Rouge committed between 1975 and 1979.",,"$52,164","$10,148","$78,097",,"$78,097"
Metastaze,2009,,82.0,https://m.media-amazon.com/images/M/MV5BZWFiMWUyZGEtNDFiOC00NmE3LTg5ZDgtMmEzYTVkODcyNzNjXkEyXkFqcGdeQXVyNDUzNzgxODE@._V1_.jpg,,"['Crime', 'Drama', 'Sport']",7.7,4459,"['Croatia', 'Bosnia and Herzegovina', 'Serbia']",['Branko Schmidt'],"['Ivo Balenovic', 'Ognjen Svilicic']","['Rene Bitorajac', 'Franjo Dijak', 'Robert Ugrina']","Four friends from the neighborhood grapple with maintaining their relationships amid the challenges of alcohol, drugs, hooliganism, crime, and the shadows of their country&apos;s history.",,,,,,
Sanitarium,2014,Unrated,112.0,https://m.media-amazon.com/images/M/MV5BMjEyNjI3MDM2Nl5BMl5BanBnXkFtZTgwNDM4OTk2MDE@._V1_.jpg,https://www.imdb.com/video/vi1065920537/,"['Horror', 'Mystery', 'Thriller']",4.6,1932,['United States'],"['Bryan Ortiz', 'Bryan Ramirez', 'Kerry Valderrama']","['Kerry Valderrama', 'Crystal Bratton', 'Bryan Ortiz']","['Malcolm McDowell', 'Lou Diamond Phillips', 'John Glover']",&quot;Sanitarium&quot; is an original series that consists of segments based on particular patients of a mental institution and what drove them to madness.,,,,,,
Ladda Land,2011,Not Rated,125.0,https://m.media-amazon.com/images/M/MV5BNDgxNjI5NDQtZGE5Ny00NWRlLTkyMjctZDQ0MWMyYmE1ZTE5XkEyXkFqcGdeQXVyMTA5NzUzODM4._V1_.jpg,,"['Drama', 'Horror', 'Mystery']",6.2,2517,['Thailand'],['Sophon Sakdaphisit'],"['Sopana Chaowwiwatkul', 'Sophon Sakdaphisit']","['Saharat Sangkapreecha', 'Piyathida Woramusik', 'Sutatta Udomsilp']","When a family moves to Laddaland, an upscale housing development with large, beautiful homes, they discover life in their new neighborhood isn&apos;t so perfect when they encounter a series of terrifying, paranormal events that drives ...",,,,"$5,755,172",,"$5,755,172"
Un novio para mi mujer,2008,,100.0,https://m.media-amazon.com/images/M/MV5BMTRlMjI4YTktMDQxMC00OWI2LWE4NTAtYTk1OWE2YjBkYmM1XkEyXkFqcGdeQXVyMzU1ODUxOTk@._V1_.jpg,https://www.imdb.com/video/vi118340377/,"['Comedy', 'Romance']",6.7,3685,['Argentina'],['Juan Taratuto'],['Pablo Solarz'],"['Adrián Suar', 'Valeria Bertuccelli', 'Gabriel Goity']",A man finds a very unusual way to get rid of his wife.,,,,"$6,395,811",,"$6,395,811"
You Can&apos;t Kill Stephen King,2013,Not Rated,86.0,https://m.media-amazon.com/images/M/MV5BMTQ4MTQ3NzU2MV5BMl5BanBnXkFtZTcwNzcxNTcxNw@@._V1_.jpg,,"['Comedy', 'Horror']",3.8,1670,['United States'],"['Ronnie Khalil', 'Monroe Mann', 'Jorge Valdés-Iga']","['Monroe Mann', 'Ronnie Khalil', 'Bob Madia']","['Monroe Mann', 'Ronnie Khalil', 'Crystal Arnette']","A group of friends visit a lake where horror author Stephen King lives, and start getting killed off one at a time.",,,,,,
The Fifth Commandment,2008,R,90.0,https://m.media-amazon.com/images/M/MV5BNDJhNTQwZWEtMTAxYy00MWY3LTg5OTItNTEyMjc5MmNmNjYyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_.jpg,https://www.imdb.com/video/vi3057713689/,"['Action', 'Comedy', 'Crime']",4.5,1316,['United States'],['Jesse V. Johnson'],['Rick Yune'],"['Rick Yune', 'Roger Yuan', 'Dania Ramirez']","In Bangkok, an assassin who turns down a job that hits too close to home finds himself targeted by the elite members of his profession.",,,,"$495,989",,"$495,989"
Hits,2014,,96.0,https://m.media-amazon.com/images/M/MV5BNTkwNzE3ODczMV5BMl5BanBnXkFtZTgwMzcyNjQxNDE@._V1_.jpg,https://www.imdb.com/video/vi4230917657/,"['Comedy', 'Drama']",5.8,1985,['United States'],['David Cross'],['David Cross'],"['Meredith Hagner', 'Matt Walsh', 'James Adomian']",A small town in upstate New York plays host to its inhabitants&apos; delusions of grandeur.,"$1,000,000 (estimated)",,,,"$1,000,000 (estimated)",
Yeo-haeng-ja,2009,,92.0,https://m.media-amazon.com/images/M/MV5BMTUzMDIxNTczNF5BMl5BanBnXkFtZTcwNDc2MzUwMw@@._V1_.jpg,,['Drama'],7.4,2493,"['France', 'South Korea']",['Ounie Lecomte'],['Ounie Lecomte'],"['Kim Sae-ron', 'Do Yeon Park', 'Ko Asung']","Young Jinhee is taken by her father to an orphanage near Seoul. He leaves her there never to return, and she struggles to come to grips with her fate. Jinhee desperately believes her father will come back for her.",,,,"$169,277",,"$169,277"
